Latest_calibration_year,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux
2015,34089.33802567133,0.1722318847130225,0.23286815012504225,0.20565345314892813,2.5317922822980083,30.480193376834716
2030,33780.79312526423,0.16723471230425008,0.2129597248902454,0.19587339891980635,2.4670244258649365,30.370455633366806
2045,33765.25935403279,0.15895047016341557,0.2084212724540616,0.1905609083491305,2.2562333859099564,30.179097625881077
2060,33642.8805160758,0.15716659033025768,0.20664266391582078,0.18684659830318265,1.8002997130624905,29.814144651279666
2075,33475.78250625012,0.1534372530069151,0.20349320272244825,0.18154721855747316,1.2463698993064867,28.11978852909884
2090,33153.86583213201,0.15173168926491262,0.19854683216888563,0.17593667551799355,1.205201486528977,26.903806291926912
2105,32615.270138909378,0.14592698448350844,0.18170050856698164,0.1646782034894184,1.1385203082579824,26.500826720714553
2120,32367.702899084157,0.13943539560959203,0.17561186860803057,0.16110508801945336,1.0201615015738754,26.20511919133389
2135,31971.11226661315,0.13585062924319677,0.17264691685660907,0.1549075160969602,0.8983435837344166,24.243347446387546
2150,31677.42435145618,0.1318240311401601,0.169746673389817,0.15004713574008086,0.7786189531701488,23.498538998926346
2165,30712.851416618665,0.12520944626826733,0.16081080847599882,0.13807791676738992,0.6978058157508497,21.657188599687288
2180,29026.490691349976,0.11026150069565839,0.14405985681976533,0.1261366668182533,0.5728408384767343,21.37251379978177
2195,28307.629749284886,0.09088626194146282,0.12192411158921615,0.11383599527583627,0.41008422717193427,20.85980500220668
2210,27691.443120818738,0.06644325851508466,0.10581404380508148,0.1051818540062426,0.36833082708214143,20.225022771984037
2225,26619.74296987815,0.042073459679652106,0.09897513942867783,0.09900107921967648,0.315573970878407,19.973208760652156
2240,26423.65425095275,0.03230205215460316,0.09801416952174337,0.09857416727907467,0.29596664398536193,19.679965902530903
2255,26190.719542222017,0.026755391515693564,0.09459379510159675,0.09489239341559216,0.27897620473069007,19.406990091043298
2270,25982.59432386836,0.023722046810650373,0.09203890095421757,0.0931356220385307,0.26688556813112974,19.127993178021153
2285,25805.672576944737,0.021931493181035277,0.09121534778856157,0.0914018286754691,0.2561662815872002,18.968930410812344
2300,25731.71737695803,0.021117599028558014,0.09053197041256487,0.09001009274231897,0.25034173434800233,18.750602974100673
total_%_decrease,24.516817083451446,87.73885621483808,61.12307743074684,56.232151046286425,90.11207451344401,38.48266399664204
